"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"1","212488_at","TRIL","209955_s_at","IGHA2","202238_s_at","CRNDE","204220_at","IGHA2","210895_s_at","IGHA2","205347_s_at","KLHL23"
"2","203083_at","COL8A2","204619_s_at","IGHG2","202237_at","IGHA2","34210_at","IGHG2","205270_s_at","IGHG2","222592_s_at","TRIL"
"3","238617_at","FAP","203083_at","IGHA1","203083_at","IGHG2","205831_at","IGHA1","203922_s_at","IGHA1","204070_at","IFIH1"
"4","212667_at","FKBP7","226695_at","IGHG1","203868_s_at","IGHA1","205269_at","IGHG1","206715_at","IGHG1","226346_at","FIGN"
"5","221729_at","ETV1","227140_at","IGHM","209955_s_at","IGHG1","228071_at","IGHM","211742_s_at","IGHM","227512_at","HLA-DRB6"
"6","202766_s_at","PXDN","223122_s_at","TRGC2","223278_at","IGHM","203416_at","IGHV@","220330_s_at","IGHV@","201310_s_at","NOTCH3"
"7","201261_x_at","TWIST1","37892_at","IGKC","204774_at","IGHV@","218805_at","TRGC2","203416_at","TRGC2","202659_at","CSRNP3"
"8","208789_at","TMCC3","204320_at","IGKV4-1","227140_at","TRGC2","1552316_a_at","IGKC","212588_at","IGKC","221016_s_at","CHN1"
"9","221730_at","SOX11","221729_at","TRBC2","229554_at","IGKC","204655_at","IGKV4-1","211367_s_at","IGKV4-1","227188_at","NEAT1"
"10","201792_at","COL16A1","221730_at","HOTAIRM1","226695_at","IGKV4-1","1555759_a_at","TRBC2","203471_s_at","TRBC2","226549_at","LY75"
"11","213905_x_at","PDE1A","1555778_a_at","TRIL","210511_s_at","TRBC2","219777_at","TRAC","207238_s_at","KLHL23","214761_at","BST2"
"12","203325_s_at","HOXA3","202283_at","FIGN","201954_at","KLHL23","205270_s_at","IGLC1","223502_s_at","TRIL","222640_at","C4A"
"13","204589_at","CYS1","211571_s_at","TRAC","204646_at","HOTAIRM1","204118_at","IGLC2","204118_at","IFIH1","210220_at","C2"
"14","204619_s_at","HOXA5","212488_at","KLF2","217764_s_at","IFIH1","207238_s_at","IGLC3","230422_at","HLA-J","201564_s_at","FKBP7"
"15","204620_s_at","SDC1","210511_s_at","IGLC1","1555778_a_at","HLA-J","205488_at","WIPF1","210644_s_at","FIGN","205123_s_at","ETV1"
"16","212489_at","KLHL29","221731_x_at","IGLC2","201721_s_at","COBLL1","211796_s_at","IFI30","213160_at","ZNF135","227077_at","C4B"
"17","235318_at","KRT17","210809_s_at","IGLC3","229479_at","HLA-DRB6","215049_x_at","FAP","211368_s_at","HLA-DRB6","218322_s_at","PQLC3"
"18","228396_at","COLEC12","204620_s_at","WIPF1","209732_at","UCA1","230422_at","LCK","1554899_s_at","NOTCH3","213283_s_at","NCRNA00286B"
"19","200665_s_at","PPP1R1B","202450_s_at","CHN1","215446_s_at","CSRNP3","206666_at","ETV1","223501_at","CSRNP3","226548_at","HLA-DRA"
"20","221731_x_at","RAB31","215646_s_at","COL8A2","227061_at","NAPSB","210915_x_at","TWIST1","219243_at","NAPSB","212850_s_at","HLA-DRB5"
"21","225782_at","FAM38B","229554_at","CD302","226311_at","CYBRD1","229367_s_at","HLA-DQA1","209970_x_at","TRAC","219630_at","CFB"
"22","227070_at","TUBB6","225681_at","PLVAP","226777_at","TRAC","206584_at","PLXNC1","227266_s_at","NCF1B","1557684_at","HLA-DRB1"
"23","226695_at","NUAK1","216442_x_at","ITGB6","210809_s_at","KLF2","1405_i_at","HLA-DQB1","209906_at","IGLC1","204165_at","HLA-DQA1"
"24","204320_at","FEZ1","227070_at","FAP","212353_at","IGLC1","202664_at","CCL2","204232_at","IGLC2","203236_s_at","TMEM98"
"25","227140_at","ZNF521","210495_x_at","LCK","228234_at","IGLC2","210644_s_at","HLA-DQA2","205269_at","IGLC3","211071_s_at","HLA-DQB1"
"26","37892_at","TCEAL7","227061_at","FKBP7","212354_at","IGLC3","1555728_a_at","LAPTM5","211366_x_at","WIPF1","205101_at","CCL2"
"27","202310_s_at","ZFPM2","212489_at","ETV1","223122_s_at","WIPF1","203471_s_at","CCL11","226818_at","NCF1C","208025_s_at","HLA-DQA2"
"28","200897_s_at","FHOD3","200665_s_at","PXDN","203939_at","NEAT1","204774_at","CCL8","208018_s_at","HOXD1","202357_s_at","LAPTM5"
"29","210511_s_at","FLRT2","212464_s_at","TWIST1","206026_s_at","COL8A2","209670_at","SNX10","221087_s_at","NEAT1","1559063_at","TAP2"
"30","201505_at","IGFBP4","226311_at","PLXNC1","212588_at","CD302","203645_s_at","MPEG1","204923_at","INSIG1","1553589_a_at","PSMB8"
"31","224694_at","PAPLN","225242_s_at","DFNA5","221729_at","LY75","204661_at","HLA-DPA1","202902_s_at","LY75","218380_at","SOX11"
"32","208782_at","COL14A1","211719_x_at","MEOX2","202283_at","BST2","219386_s_at","GPNMB","1405_i_at","C7orf13","210882_s_at","PSMB9"
"33","226237_at","GFPT2","201852_x_at","LAPTM5","211368_s_at","PLA2R1","212588_at","MS4A6A","204655_at","BST2","217995_at","FAM84A"
"34","202404_s_at","CXCL14","227566_at","CCL11","211742_s_at","ITGB6","213193_x_at","HLA-DPB1","205098_at","FAM125A","208306_x_at","TAP1"
"35","226834_at","IGF1","223121_s_at","NCRNA00152","215193_x_at","DNALI1","213160_at","CCL5","214574_x_at","ITGB6","219684_at","CMPK2"
"36","211651_s_at","SVEP1","202766_s_at","FKBP14","220330_s_at","IFI30","203603_s_at","MS4A4A","204774_at","DNALI1","221477_s_at","UBA7"
"37","221447_s_at","MEGF10","226834_at","SOX11","201288_at","FAP","211742_s_at","MS4A7","203760_s_at","JAK3","201518_at","RSAD2"
"38","215076_s_at","NRK","215446_s_at","COL16A1","217763_s_at","LCK","216920_s_at","CCL18","1555759_a_at","IFI30","221087_s_at","USP44"
"39","200907_s_at","CLIC3","203325_s_at","SNX10","208306_x_at","JAZF1","204122_at","CCL3","205831_at","FAP","215193_x_at","HLA-DMA"
"40","202403_s_at","PLXDC1","201792_at","PDE1A","202748_at","C4A","227266_s_at","MS4A14","201720_s_at","LCK","225973_at","MYCN"
"41","219479_at","SPOCK1","201069_at","COLEC11","206025_s_at","C2","230391_at","CCL4","209083_at","C1orf38","212651_at","TAPBP"
"42","201069_at","GLT8D2","212667_at","SKAP2","227266_s_at","ETV1","209732_at","CCL3L3","223303_at","JAZF1","209619_at","HLA-DOA"
"43","201852_x_at","CHSY3","221447_s_at","ID2","202803_s_at","PTAFR","221210_s_at","CCL3L1","219386_s_at","C4A","205122_at","HLA-DPA1"
"44","235182_at","COL27A1","213139_at","FAM126A","217762_s_at","C4B","214511_x_at","MS4A1","208306_x_at","C2","201309_x_at","CACNA2D2"
"45","223121_s_at","NAP1L3","229479_at","HOXA3","228937_at","PQLC3","203561_at","MAFB","204220_at","FKBP7","205107_s_at","HLA-DPB1"
